ruta_imagen,clase_predicha,confianza
External_Test/PNG\10007.png,Bleeding,1.0
External_Test/PNG\10029.png,Bleeding,0.9999
External_Test/PNG\10189.png,Normal,1.0
External_Test/PNG\10200.png,Normal,0.995
External_Test/PNG\10231.png,Ischemia,0.8552
External_Test/PNG\10241.png,Ischemia,0.9997
External_Test/PNG\10267.png,Normal,0.9998
External_Test/PNG\10300.png,Normal,0.9993
External_Test/PNG\10301.png,Normal,0.999
External_Test/PNG\10319.png,Normal,1.0
External_Test/PNG\10360.png,Normal,1.0
External_Test/PNG\10437.png,Bleeding,1.0
External_Test/PNG\10461.png,Bleeding,0.9204
External_Test/PNG\10467.png,Normal,0.9997
External_Test/PNG\10493.png,Normal,0.9976
External_Test/PNG\10494.png,Normal,1.0
External_Test/PNG\10641.png,Normal,0.9998
External_Test/PNG\10693.png,Normal,0.9999
External_Test/PNG\10785.png,Bleeding,0.9991
External_Test/PNG\10833.png,Normal,0.9608
External_Test/PNG\10910.png,Normal,0.9969
External_Test/PNG\10911.png,Normal,1.0
External_Test/PNG\10917.png,Normal,0.994
External_Test/PNG\10923.png,Normal,0.997
External_Test/PNG\10958.png,Normal,0.9867
External_Test/PNG\11023.png,Normal,1.0
External_Test/PNG\11072.png,Ischemia,0.6852
External_Test/PNG\11074.png,Ischemia,0.9999
External_Test/PNG\11104.png,Normal,0.9987
External_Test/PNG\11114.png,Ischemia,0.9796
External_Test/PNG\11133.png,Bleeding,1.0
External_Test/PNG\11263.png,Ischemia,0.9997
External_Test/PNG\11308.png,Normal,0.9999
External_Test/PNG\11318.png,Bleeding,0.9991
External_Test/PNG\11319.png,Normal,1.0
External_Test/PNG\11336.png,Bleeding,1.0
External_Test/PNG\11351.png,Bleeding,1.0
External_Test/PNG\11465.png,Normal,0.9994
External_Test/PNG\11479.png,Bleeding,1.0
External_Test/PNG\11482.png,Normal,1.0
External_Test/PNG\11520.png,Normal,0.9967
External_Test/PNG\11530.png,Normal,0.9979
External_Test/PNG\11563.png,Ischemia,1.0
External_Test/PNG\11564.png,Normal,0.9839
External_Test/PNG\11612.png,Normal,1.0
External_Test/PNG\11619.png,Normal,1.0
External_Test/PNG\11651.png,Normal,0.9998
External_Test/PNG\11669.png,Ischemia,0.9143
External_Test/PNG\11800.png,Normal,0.9582
External_Test/PNG\11864.png,Ischemia,0.9997
External_Test/PNG\11925.png,Normal,0.9997
External_Test/PNG\11963.png,Bleeding,0.9999
External_Test/PNG\11964.png,Normal,0.9923
External_Test/PNG\11965.png,Ischemia,0.9999
External_Test/PNG\11966.png,Normal,0.9936
External_Test/PNG\12009.png,Bleeding,0.9977
External_Test/PNG\12018.png,Normal,0.7934
External_Test/PNG\12079.png,Normal,0.9992
External_Test/PNG\12199.png,Normal,0.9546
External_Test/PNG\12289.png,Normal,0.9977
External_Test/PNG\12344.png,Normal,0.9442
External_Test/PNG\12383.png,Normal,0.9968
External_Test/PNG\12487.png,Normal,0.9987
External_Test/PNG\12488.png,Bleeding,0.9658
External_Test/PNG\12542.png,Normal,0.9975
External_Test/PNG\12593.png,Ischemia,0.9554
External_Test/PNG\12603.png,Normal,0.9909
External_Test/PNG\12616.png,Normal,0.9994
External_Test/PNG\12639.png,Bleeding,0.9997
External_Test/PNG\12645.png,Bleeding,0.9948
External_Test/PNG\12743.png,Normal,0.9997
External_Test/PNG\12800.png,Bleeding,0.9998
External_Test/PNG\12918.png,Bleeding,0.9827
External_Test/PNG\12933.png,Normal,0.997
External_Test/PNG\12996.png,Bleeding,1.0
External_Test/PNG\12997.png,Bleeding,0.9948
External_Test/PNG\13021.png,Normal,1.0
